Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
11.01.2017 8:00;-32.2;701.2;780.4;-0.3;79;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;-33.8;;;;;;;50.0;-34.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
11.01.2017 11:00;-31.8;700.6;779.5;-0.6;80;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-34.6;;;;;;;50.0;-34.1;;;;;;
11.01.2017 14:00;-29.1;699.8;777.7;-0.8;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-31.6;;;;;;
11.01.2017 17:00;-28.7;699.5;777.3;-0.3;74;Ветер, дующий с северо-востока;3;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-31.9;;;;;;
11.01.2017 20:00;-27.4;699.7;777.0;0.2;75;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;-27.1;;;;;;50.0;-30.5;Осадков нет;12;;;;
11.01.2017 23:00;-27.9;700.0;777.5;0.3;80;Ветер, дующий с северо-северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-30.3;;;;;;
12.01.2017 2:00;-29.7;700.0;777.9;0.0;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-32.2;;;;;;
12.01.2017 5:00;-30.3;699.9;778.2;-0.1;79;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-32.8;;;;;;
12.01.2017 8:00;-30.7;700.3;778.8;0.4;80;Ветер, дующий с северо-востока;3;;;10%  или менее, но не 0; ;;;-31.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-33.0;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
12.01.2017 11:00;-30.7;700.8;779.3;0.5;80;Ветер, дующий с северо-востока;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-33.0;;;;;;
12.01.2017 14:00;-27.5;700.0;777.3;-0.8;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-30.0;;;;;;
12.01.2017 17:00;-24.7;699.7;776.1;-0.3;80;Ветер, дующий с северо-востока;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.2;;;;;;
12.01.2017 20:00;-26.8;700.0;777.1;0.3;79;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;-24.5;;;;;;50.0;-29.3;Осадков нет;12;;;;
12.01.2017 23:00;-28.2;700.0;777.6;0.0;79;Ветер, дующий с северо-северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-30.7;;;;;;
13.01.2017 2:00;-29.8;699.7;777.9;-0.3;80;Ветер, дующий с северо-северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-32.2;;;;;;
13.01.2017 5:00;-30.0;700.1;778.3;0.4;80;Ветер, дующий с северо-северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-32.4;;;;;;
13.01.2017 8:00;-30.6;700.6;779.1;0.5;79;Ветер, дующий с северо-северо-востока;5;;;Облаков нет.; ;;;-31.6;;;;;;;50.0;-33.0;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
13.01.2017 11:00;-29.4;701.2;779.4;0.6;80;Ветер, дующий с северо-востока;4;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-31.8;;;;;;
