Местное время в Ангарске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.02.2017 23:00;-22.5;727.3;771.7;;82;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-24.8;;;;;;
02.02.2017 5:00;-27.3;727.6;772.9;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-30.4;;;;;;
02.02.2017 11:00;-20.5;728.5;772.6;;76;Ветер, дующий с востока;1;;;Облаков нет.; ;;;-29.2;;;;;;;50.0;-23.7;;;;;;
02.02.2017 17:00;-10.3;727.5;769.8;;62;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-16.2;;;;;;
02.02.2017 23:00;-16.8;727.4;770.8;;83;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-19.0;;;;;;
03.02.2017 5:00;-14.3;727.4;770.3;;80;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-17.0;;;;;;
03.02.2017 11:00;-11.4;727.8;770.2;;76;Ветер, дующий с северо-востока;1;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.8;;;;;;
03.02.2017 17:00;-7.5;727.1;768.9;;72;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-11.7;;;;;;
03.02.2017 23:00;-17.1;727.2;770.6;;86;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-18.9;;;;;;
04.02.2017 5:00;-21.4;727.0;771.1;;81;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-23.8;;;;;;
04.02.2017 11:00;-16.6;728.6;772.0;;84;Ветер, дующий с запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;20.0;-18.7;;;;;;
