Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
19.01.2017 20:00;-23.8;720.5;775.6;;57;Ветер, дующий с севера;1;;;Облаков нет.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-18.7;;;;;;;-30.0;Следы осадков;12;;;;
20.01.2017 2:00;-24.8;726.5;774.1;;80;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-27.3;;;;;;
20.01.2017 8:00;-25.1;727.7;775.5;;85;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-27.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые просвечивающие.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-26.9;0.6;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
20.01.2017 14:00;-18.0;728.7;775.2;;80;Ветер, дующий с северо-северо-востока;1;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-20.6;;;;;;
20.01.2017 20:00;-24.7;731.5;779.4;;80;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;-17.5;;;;;;;-27.2;Следы осадков;12;;;;
21.01.2017 2:00;-26.8;732.8;781.2;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-29.3;;;;;;
21.01.2017 8:00;-30.1;734.0;783.2;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;-31.0;;;;;;;50.0;-31.9;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
21.01.2017 14:00;-21.7;733.8;781.3;;70;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-25.7;;;;;;
21.01.2017 20:00;-30.1;734.2;783.4;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;-21.5;;;;;;;-32.6;Осадков нет;12;;;;
22.01.2017 2:00;-28.5;;782.0;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-30.4;;;;;;
22.01.2017 8:00;-33.8;732.3;782.2;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;-35.5;;;;;;;50.0;-36.2;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
22.01.2017 14:00;-20.4;731.1;778.2;;70;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-24.5;;;;;;
22.01.2017 20:00;-28.0;731.8;780.5;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;-20.3;;;;;;;-29.8;Осадков нет;12;;;;
23.01.2017 2:00;-29.6;732.3;781.2;;85;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-31.3;;;;;;
